Mun;2017;2018;2019;2020;2021;Total
350830 Cabrália Paulista;0.0;0.0;0.0;0.0;0.0;0.0
350840 Cabreúva;215.0;196.0;171.0;165.0;168.0;915.0
350850 Caçapava;1260.0;1423.0;1083.0;1032.0;993.0;5791.0
350860 Cachoeira Paulista;0.0;0.0;0.0;0.0;0.0;0.0
350870 Caconde;376.0;334.0;483.0;283.0;272.0;1748.0
350880 Cafelândia;236.0;246.0;222.0;204.0;190.0;1098.0
350890 Caiabu;0.0;0.0;0.0;0.0;0.0;0.0
350900 Caieiras;1209.0;1079.0;1197.0;1204.0;1053.0;5742.0
350910 Caiuá;0.0;0.0;0.0;0.0;0.0;0.0
350920 Cajamar;421.0;356.0;367.0;243.0;141.0;1528.0
350925 Cajati;0.0;0.0;0.0;0.0;0.0;0.0
350930 Cajobi;136.0;67.0;86.0;62.0;80.0;431.0
350940 Cajuru;802.0;868.0;829.0;705.0;766.0;3970.0
350945 Campina do Monte Alegre;0.0;0.0;0.0;0.0;0.0;0.0
350950 Campinas;37637.0;32580.0;34996.0;28895.0;28904.0;163012.0
350960 Campo Limpo Paulista;773.0;880.0;924.0;680.0;397.0;3654.0
350970 Campos do Jordão;822.0;981.0;924.0;815.0;861.0;4403.0
350980 Campos Novos Paulista;0.0;0.0;0.0;0.0;0.0;0.0
350990 Cananéia;0.0;0.0;0.0;0.0;0.0;0.0
350995 Canas;0.0;0.0;0.0;0.0;0.0;0.0
351000 Cândido Mota;372.0;419.0;426.0;355.0;319.0;1891.0
351010 Cândido Rodrigues;0.0;0.0;0.0;0.0;0.0;0.0
351015 Canitar;0.0;0.0;0.0;0.0;0.0;0.0
351020 Capão Bonito;1011.0;928.0;814.0;709.0;658.0;4120.0
351030 Capela do Alto;0.0;0.0;0.0;0.0;0.0;0.0
351040 Capivari;976.0;968.0;896.0;788.0;659.0;4287.0
351050 Caraguatatuba;5205.0;5501.0;6500.0;5508.0;5147.0;27861.0
351060 Carapicuíba;9511.0;10065.0;10267.0;6489.0;6214.0;42546.0
351070 Cardoso;28.0;47.0;88.0;88.0;31.0;282.0
351080 Casa Branca;212.0;137.0;471.0;362.0;365.0;1547.0
351090 Cássia dos Coqueiros;0.0;0.0;0.0;0.0;0.0;0.0
351100 Castilho;0.0;0.0;0.0;0.0;0.0;0.0
351110 Catanduva;6862.0;6971.0;7522.0;6024.0;5631.0;33010.0
351120 Catiguá;0.0;0.0;0.0;0.0;0.0;0.0
351130 Cedral;0.0;0.0;0.0;0.0;0.0;0.0
351140 Cerqueira César;163.0;174.0;131.0;89.0;152.0;709.0
351150 Cerquilho;289.0;609.0;480.0;270.0;156.0;1804.0
351160 Cesário Lange;67.0;104.0;150.0;48.0;23.0;392.0
351170 Charqueada;61.0;57.0;96.0;171.0;16.0;401.0
355720 Chavantes;136.0;157.0;120.0;86.0;105.0;604.0
351190 Clementina;13.0;16.0;12.0;5.0;3.0;49.0
351200 Colina;187.0;226.0;183.0;132.0;218.0;946.0
351210 Colômbia;0.0;52.0;2.0;0.0;0.0;54.0
351220 Conchal;540.0;558.0;466.0;337.0;334.0;2235.0
351230 Conchas;0.0;0.0;0.0;0.0;0.0;0.0
351240 Cordeirópolis;0.0;0.0;0.0;0.0;0.0;0.0
351250 Coroados;0.0;0.0;0.0;0.0;0.0;0.0
351260 Coronel Macedo;0.0;0.0;0.0;0.0;0.0;0.0
