Mun;2017;2018;2019;2020;2021;Total
320332 Marataízes;0.0;0.0;0.0;0.0;0.0;0.0
320334 Marechal Floriano;0.0;0.0;0.0;0.0;0.0;0.0
320335 Marilândia;0.0;0.0;0.0;0.0;0.0;0.0
320340 Mimoso do Sul;1510.0;1384.0;1331.0;1089.0;1209.0;6523.0
320350 Montanha;713.0;415.0;1115.0;668.0;725.0;3636.0
320360 Mucurici;1089.0;946.0;1038.0;584.0;601.0;4258.0
320370 Muniz Freire;365.0;285.0;339.0;363.0;308.0;1660.0
320380 Muqui;320.0;316.0;349.0;344.0;487.0;1816.0
320390 Nova Venécia;1993.0;2188.0;1972.0;1810.0;2029.0;9992.0
320400 Pancas;0.0;0.0;0.0;49.0;144.0;193.0
320405 Pedro Canário;1426.0;1482.0;1486.0;1093.0;1484.0;6971.0
320410 Pinheiros;1078.0;1274.0;1412.0;847.0;689.0;5300.0
320420 Piúma;0.0;0.0;0.0;0.0;0.0;0.0
320425 Ponto Belo;0.0;0.0;0.0;0.0;0.0;0.0
320430 Presidente Kennedy;0.0;0.0;0.0;0.0;0.0;0.0
320435 Rio Bananal;199.0;119.0;139.0;143.0;109.0;709.0
320440 Rio Novo do Sul;0.0;0.0;0.0;0.0;0.0;0.0
320450 Santa Leopoldina;237.0;147.0;196.0;198.0;147.0;925.0
320455 Santa Maria de Jetibá;1883.0;1797.0;1483.0;1152.0;1296.0;7611.0
320460 Santa Teresa;1729.0;1579.0;1318.0;1108.0;1502.0;7236.0
320465 São Domingos do Norte;0.0;0.0;0.0;0.0;0.0;0.0
320470 São Gabriel da Palha;546.0;0.0;159.0;645.0;618.0;1968.0
320480 São José do Calçado;1457.0;1662.0;1723.0;1176.0;1004.0;7022.0
320490 São Mateus;7654.0;7829.0;8993.0;11042.0;11873.0;47391.0
320495 São Roque do Canaã;0.0;0.0;0.0;0.0;0.0;0.0
320500 Serra;12265.0;10298.0;8489.0;13430.0;14749.0;59231.0
320501 Sooretama;0.0;0.0;0.0;0.0;0.0;0.0
320503 Vargem Alta;343.0;346.0;281.0;398.0;415.0;1783.0
320506 Venda Nova do Imigrante;1480.0;1718.0;1448.0;1099.0;1144.0;6889.0
320510 Viana;0.0;0.0;0.0;0.0;0.0;0.0
320515 Vila Pavão;0.0;0.0;0.0;0.0;0.0;0.0
320517 Vila Valério;0.0;0.0;0.0;0.0;0.0;0.0
320520 Vila Velha;13294.0;15882.0;14885.0;15421.0;22485.0;81967.0
320530 Vitória;28805.0;26685.0;25718.0;24802.0;26996.0;133006.0
330010 Angra dos Reis;4839.0;5195.0;5919.0;5110.0;5182.0;26245.0
330015 Aperibé;1008.0;856.0;821.0;587.0;848.0;4120.0
330020 Araruama;508.0;737.0;667.0;681.0;1548.0;4141.0
330022 Areal;237.0;254.0;298.0;225.0;366.0;1380.0
330023 Armação dos Búzios;1090.0;1183.0;1543.0;1527.0;1980.0;7323.0
330025 Arraial do Cabo;684.0;729.0;827.0;942.0;1229.0;4411.0
330030 Barra do Piraí;4983.0;4351.0;4641.0;3802.0;4411.0;22188.0
330040 Barra Mansa;4898.0;5793.0;6126.0;5794.0;7017.0;29628.0
330045 Belford Roxo;2833.0;6420.0;6225.0;12812.0;12896.0;41186.0
330050 Bom Jardim;1239.0;1259.0;1217.0;1042.0;1256.0;6013.0
330060 Bom Jesus do Itabapoana;3144.0;3122.0;3506.0;2452.0;3308.0;15532.0
330070 Cabo Frio;5183.0;5554.0;5288.0;4994.0;4434.0;25453.0
330080 Cachoeiras de Macacu;2684.0;1653.0;1974.0;1080.0;2229.0;9620.0
330090 Cambuci;741.0;826.0;893.0;491.0;1008.0;3959.0
330100 Campos dos Goytacazes;20426.0;19892.0;20249.0;18123.0;20349.0;99039.0
