Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
220027 Alegrete do Piauí;0.0;0.0;3.0;0.0;2.0;0.0;1.0;0.0;6.0
220030 Alto Longá;1.0;3.0;4.0;1.0;1.0;0.0;1.0;0.0;11.0
220040 Altos;10.0;31.0;15.0;2.0;4.0;3.0;10.0;0.0;75.0
220045 Alvorada do Gurguéia;0.0;3.0;2.0;0.0;1.0;1.0;1.0;0.0;8.0
220050 Amarante;2.0;13.0;9.0;0.0;3.0;0.0;4.0;1.0;32.0
220060 Angical do Piauí;1.0;7.0;2.0;0.0;2.0;1.0;2.0;1.0;16.0
220070 Anísio de Abreu;0.0;3.0;3.0;1.0;0.0;2.0;1.0;0.0;10.0
220080 Antônio Almeida;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;5.0
220090 Aroazes;1.0;1.0;3.0;0.0;1.0;1.0;2.0;1.0;10.0
220095 Aroeiras do Itaim;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;4.0
220100 Arraial;1.0;3.0;2.0;0.0;1.0;2.0;0.0;0.0;9.0
220105 Assunção do Piauí;0.0;2.0;3.0;0.0;1.0;0.0;1.0;1.0;8.0
220110 Avelino Lopes;1.0;5.0;2.0;0.0;2.0;1.0;2.0;0.0;13.0
220115 Baixa Grande do Ribeiro;0.0;6.0;4.0;1.0;2.0;3.0;1.0;0.0;17.0
220117 Barra D'Alcântara;1.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;6.0
220120 Barras;5.0;41.0;18.0;5.0;4.0;4.0;6.0;1.0;84.0
220130 Barreiras do Piauí;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0
220140 Barro Duro;1.0;4.0;2.0;0.0;2.0;0.0;1.0;0.0;10.0
220150 Batalha;2.0;9.0;7.0;1.0;3.0;0.0;3.0;1.0;26.0
220155 Bela Vista do Piauí;0.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;6.0
220157 Belém do Piauí;0.0;2.0;2.0;1.0;1.0;2.0;0.0;0.0;8.0
220160 Beneditinos;2.0;6.0;4.0;0.0;4.0;6.0;1.0;0.0;23.0
220170 Bertolínia;0.0;3.0;2.0;1.0;1.0;1.0;3.0;0.0;11.0
220173 Betânia do Piauí;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0
220177 Boa Hora;0.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;5.0
220180 Bocaina;1.0;5.0;1.0;0.0;3.0;1.0;1.0;0.0;12.0
220190 Bom Jesus;10.0;42.0;19.0;4.0;8.0;0.0;10.0;1.0;94.0
220191 Bom Princípio do Piauí;1.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;8.0
220192 Bonfim do Piauí;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;6.0
220194 Boqueirão do Piauí;0.0;3.0;3.0;1.0;1.0;0.0;1.0;0.0;9.0
220196 Brasileira;1.0;7.0;4.0;0.0;1.0;1.0;1.0;0.0;15.0
220198 Brejo do Piauí;0.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;5.0
220200 Buriti dos Lopes;4.0;13.0;7.0;2.0;2.0;1.0;5.0;0.0;34.0
220202 Buriti dos Montes;1.0;1.0;2.0;1.0;1.0;0.0;2.0;1.0;9.0
220205 Cabeceiras do Piauí;0.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;7.0
220207 Cajazeiras do Piauí;0.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;7.0
220208 Cajueiro da Praia;0.0;3.0;2.0;0.0;1.0;0.0;1.0;0.0;7.0
220209 Caldeirão Grande do Piauí;1.0;3.0;3.0;0.0;1.0;1.0;1.0;0.0;10.0
220210 Campinas do Piauí;0.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;5.0
220211 Campo Alegre do Fidalgo;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0
220213 Campo Grande do Piauí;0.0;2.0;2.0;0.0;1.0;1.0;1.0;0.0;7.0
220217 Campo Largo do Piauí;1.0;1.0;1.0;0.0;1.0;2.0;2.0;0.0;8.0
220220 Campo Maior;21.0;74.0;34.0;10.0;21.0;9.0;21.0;1.0;191.0
220225 Canavieira;1.0;1.0;1.0;0.0;2.0;1.0;1.0;0.0;7.0
220230 Canto do Buriti;7.0;10.0;17.0;2.0;5.0;2.0;5.0;1.0;49.0
220240 Capitão de Campos;1.0;5.0;3.0;1.0;1.0;1.0;1.0;1.0;14.0
220245 Capitão Gervásio Oliveira;1.0;3.0;3.0;1.0;0.0;0.0;2.0;0.0;10.0
