Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
250355 Cacimbas;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;6.0
250360 Caiçara;2.0;7.0;2.0;0.0;1.0;1.0;2.0;0.0;15.0
250370 Cajazeiras;40.0;152.0;52.0;5.0;22.0;21.0;18.0;5.0;315.0
250375 Cajazeirinhas;0.0;5.0;1.0;0.0;1.0;0.0;1.0;0.0;8.0
250380 Caldas Brandão;1.0;5.0;3.0;1.0;1.0;0.0;1.0;0.0;12.0
250390 Camalaú;0.0;6.0;2.0;0.0;1.0;0.0;1.0;0.0;10.0
250400 Campina Grande;180.0;803.0;372.0;52.0;103.0;143.0;242.0;20.0;1915.0
250403 Capim;0.0;8.0;1.0;0.0;0.0;0.0;2.0;1.0;12.0
250407 Caraúbas;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0
250410 Carrapateira;0.0;6.0;2.0;0.0;0.0;0.0;1.0;0.0;9.0
250415 Casserengue;1.0;5.0;3.0;1.0;1.0;1.0;2.0;0.0;14.0
250420 Catingueira;0.0;7.0;2.0;1.0;1.0;1.0;2.0;0.0;14.0
250430 Catolé do Rocha;7.0;47.0;21.0;4.0;8.0;5.0;9.0;0.0;101.0
250435 Caturité;1.0;3.0;2.0;0.0;1.0;1.0;0.0;0.0;8.0
250440 Conceição;5.0;26.0;8.0;2.0;1.0;4.0;8.0;2.0;56.0
250450 Condado;0.0;6.0;3.0;0.0;0.0;2.0;1.0;0.0;12.0
250460 Conde;6.0;29.0;10.0;5.0;8.0;5.0;11.0;2.0;76.0
250470 Congo;1.0;2.0;2.0;1.0;2.0;0.0;2.0;0.0;10.0
250480 Coremas;3.0;14.0;9.0;1.0;5.0;7.0;4.0;1.0;44.0
250485 Coxixola;0.0;4.0;1.0;0.0;1.0;1.0;1.0;0.0;8.0
250490 Cruz do Espírito Santo;1.0;9.0;4.0;2.0;3.0;0.0;3.0;1.0;23.0
250500 Cubati;1.0;6.0;2.0;1.0;2.0;0.0;1.0;0.0;13.0
250510 Cuité;4.0;26.0;3.0;1.0;3.0;0.0;4.0;0.0;41.0
250523 Cuité de Mamanguape;0.0;6.0;4.0;1.0;2.0;2.0;1.0;1.0;17.0
250520 Cuitegi;0.0;3.0;2.0;0.0;1.0;0.0;2.0;1.0;9.0
250527 Curral de Cima;1.0;7.0;1.0;1.0;1.0;1.0;1.0;0.0;13.0
250530 Curral Velho;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0
250535 Damião;1.0;8.0;1.0;1.0;1.0;0.0;0.0;0.0;12.0
250540 Desterro;2.0;4.0;2.0;1.0;3.0;0.0;1.0;1.0;14.0
250560 Diamante;2.0;8.0;4.0;1.0;3.0;1.0;2.0;1.0;22.0
250570 Dona Inês;1.0;7.0;1.0;0.0;0.0;0.0;3.0;0.0;12.0
250580 Duas Estradas;1.0;5.0;2.0;1.0;1.0;0.0;2.0;0.0;12.0
250590 Emas;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;5.0
250600 Esperança;7.0;35.0;13.0;1.0;5.0;10.0;9.0;0.0;80.0
250610 Fagundes;1.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;6.0
250620 Frei Martinho;0.0;6.0;1.0;0.0;2.0;0.0;1.0;0.0;10.0
250625 Gado Bravo;1.0;4.0;3.0;0.0;1.0;1.0;0.0;0.0;10.0
250630 Guarabira;16.0;85.0;27.0;13.0;7.0;14.0;27.0;3.0;192.0
250640 Gurinhém;1.0;11.0;3.0;0.0;3.0;1.0;2.0;0.0;21.0
250650 Gurjão;0.0;6.0;3.0;1.0;1.0;2.0;1.0;0.0;14.0
250660 Ibiara;2.0;8.0;1.0;0.0;1.0;2.0;2.0;0.0;16.0
250260 Igaracy;2.0;5.0;1.0;0.0;2.0;1.0;1.0;0.0;12.0
250670 Imaculada;1.0;6.0;2.0;0.0;1.0;1.0;3.0;1.0;15.0
250680 Ingá;5.0;23.0;11.0;2.0;1.0;2.0;0.0;1.0;45.0
250690 Itabaiana;8.0;47.0;23.0;2.0;10.0;4.0;12.0;2.0;108.0
250700 Itaporanga;7.0;34.0;13.0;0.0;7.0;7.0;5.0;2.0;75.0
250710 Itapororoca;1.0;16.0;9.0;1.0;3.0;1.0;4.0;2.0;37.0
250720 Itatuba;1.0;9.0;2.0;0.0;1.0;0.0;2.0;1.0;16.0
250730 Jacaraú;2.0;5.0;3.0;1.0;0.0;0.0;5.0;0.0;16.0
250740 Jericó;0.0;7.0;3.0;0.0;1.0;1.0;2.0;0.0;14.0
250750 João Pessoa;439.0;1849.0;822.0;201.0;292.0;477.0;512.0;39.0;4631.0
251365 Joca Claudino;0.0;5.0;0.0;0.0;1.0;0.0;1.0;0.0;7.0
250760 Juarez Távora;0.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;6.0
250770 Juazeirinho;3.0;13.0;10.0;0.0;1.0;1.0;4.0;0.0;32.0
250780 Junco do Seridó;0.0;6.0;4.0;1.0;1.0;0.0;1.0;0.0;13.0
250790 Juripiranga;2.0;7.0;4.0;0.0;2.0;3.0;2.0;0.0;20.0
250800 Juru;1.0;7.0;5.0;1.0;2.0;0.0;3.0;0.0;19.0
250810 Lagoa;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;5.0
250820 Lagoa de Dentro;0.0;6.0;2.0;1.0;1.0;1.0;3.0;0.0;14.0
250830 Lagoa Seca;1.0;2.0;5.0;2.0;2.0;1.0;4.0;0.0;17.0
250840 Lastro;2.0;3.0;2.0;0.0;1.0;0.0;1.0;0.0;9.0
250850 Livramento;1.0;9.0;2.0;0.0;0.0;0.0;1.0;0.0;13.0
250855 Logradouro;1.0;4.0;3.0;0.0;2.0;1.0;1.0;0.0;12.0
250860 Lucena;1.0;9.0;4.0;1.0;1.0;0.0;4.0;0.0;20.0
250870 Mãe d'Água;1.0;5.0;4.0;1.0;1.0;0.0;2.0;0.0;14.0
250880 Malta;0.0;3.0;2.0;1.0;1.0;1.0;1.0;0.0;9.0
250890 Mamanguape;11.0;82.0;20.0;2.0;19.0;6.0;8.0;2.0;150.0
250900 Manaíra;0.0;13.0;4.0;0.0;0.0;1.0;1.0;0.0;19.0
250905 Marcação;2.0;8.0;3.0;1.0;3.0;3.0;2.0;0.0;22.0
250910 Mari;1.0;11.0;6.0;1.0;6.0;3.0;6.0;2.0;36.0
250915 Marizópolis;0.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;5.0
250920 Massaranduba;1.0;2.0;5.0;0.0;0.0;2.0;2.0;0.0;12.0
250930 Mataraca;1.0;10.0;4.0;1.0;1.0;0.0;2.0;0.0;19.0
250933 Matinhas;1.0;1.0;3.0;0.0;1.0;0.0;3.0;0.0;9.0
250937 Mato Grosso;1.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;6.0
250939 Maturéia;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0
250940 Mogeiro;1.0;8.0;5.0;0.0;1.0;4.0;2.0;0.0;21.0
250950 Montadas;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;6.0
250960 Monte Horebe;1.0;3.0;2.0;0.0;1.0;0.0;2.0;0.0;9.0
250970 Monteiro;11.0;66.0;17.0;4.0;7.0;5.0;16.0;2.0;128.0
250980 Mulungu;2.0;6.0;2.0;0.0;2.0;1.0;3.0;0.0;16.0
250990 Natuba;1.0;11.0;1.0;0.0;1.0;1.0;2.0;0.0;17.0
251000 Nazarezinho;0.0;5.0;1.0;0.0;1.0;0.0;1.0;0.0;8.0
251010 Nova Floresta;1.0;5.0;2.0;0.0;1.0;0.0;1.0;0.0;10.0
251020 Nova Olinda;1.0;6.0;3.0;1.0;1.0;0.0;2.0;0.0;14.0
251030 Nova Palmeira;0.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;6.0
251040 Olho d'Água;2.0;5.0;2.0;1.0;2.0;0.0;0.0;0.0;12.0
251050 Olivedos;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;5.0
251060 Ouro Velho;0.0;5.0;2.0;1.0;1.0;0.0;0.0;0.0;9.0
251065 Parari;0.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;6.0
251070 Passagem;2.0;7.0;2.0;1.0;1.0;0.0;2.0;0.0;15.0
251080 Patos;40.0;311.0;91.0;10.0;34.0;62.0;55.0;4.0;607.0
251090 Paulista;0.0;11.0;3.0;1.0;2.0;0.0;1.0;0.0;18.0
251100 Pedra Branca;1.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;6.0
251110 Pedra Lavrada;0.0;4.0;1.0;0.0;1.0;1.0;1.0;0.0;8.0
251120 Pedras de Fogo;5.0;33.0;11.0;2.0;4.0;5.0;11.0;0.0;71.0
251272 Pedro Régis;0.0;3.0;1.0;0.0;1.0;1.0;2.0;0.0;8.0
251130 Piancó;27.0;58.0;20.0;2.0;6.0;4.0;15.0;3.0;135.0
251140 Picuí;5.0;21.0;5.0;1.0;4.0;2.0;4.0;0.0;42.0
251150 Pilar;2.0;12.0;5.0;0.0;3.0;1.0;3.0;0.0;26.0
251160 Pilões;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0
251170 Pilõezinhos;0.0;3.0;2.0;1.0;1.0;0.0;0.0;0.0;7.0
251180 Pirpirituba;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;8.0
251190 Pitimbu;2.0;11.0;6.0;2.0;2.0;1.0;4.0;0.0;28.0
251200 Pocinhos;1.0;12.0;6.0;0.0;1.0;1.0;3.0;0.0;24.0
251203 Poço Dantas;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0
251207 Poço de José de Moura;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;7.0
251210 Pombal;10.0;67.0;10.0;4.0;3.0;10.0;7.0;2.0;113.0
251220 Prata;1.0;7.0;2.0;0.0;1.0;0.0;1.0;1.0;13.0
251230 Princesa Isabel;10.0;48.0;17.0;5.0;7.0;7.0;11.0;1.0;106.0
251240 Puxinanã;0.0;2.0;5.0;0.0;1.0;0.0;1.0;1.0;10.0
251250 Queimadas;11.0;32.0;20.0;2.0;5.0;4.0;8.0;1.0;83.0
251260 Quixabá;1.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;7.0
251270 Remígio;2.0;17.0;7.0;0.0;2.0;4.0;3.0;0.0;35.0
251274 Riachão;1.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;8.0
251275 Riachão do Bacamarte;1.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;7.0
251276 Riachão do Poço;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0
251278 Riacho de Santo Antônio;0.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;7.0
251280 Riacho dos Cavalos;1.0;6.0;3.0;0.0;0.0;1.0;3.0;0.0;14.0
251290 Rio Tinto;2.0;17.0;7.0;0.0;4.0;5.0;4.0;1.0;40.0
251300 Salgadinho;1.0;4.0;1.0;1.0;1.0;0.0;2.0;0.0;10.0
251310 Salgado de São Félix;1.0;8.0;5.0;1.0;3.0;0.0;2.0;1.0;21.0
251315 Santa Cecília;0.0;8.0;2.0;0.0;1.0;0.0;2.0;0.0;13.0
251320 Santa Cruz;1.0;7.0;2.0;0.0;1.0;1.0;2.0;0.0;14.0
251330 Santa Helena;0.0;8.0;3.0;0.0;2.0;0.0;0.0;0.0;13.0
251335 Santa Inês;1.0;3.0;2.0;1.0;1.0;0.0;2.0;0.0;10.0
251340 Santa Luzia;9.0;31.0;6.0;3.0;5.0;1.0;6.0;2.0;63.0
251370 Santa Rita;23.0;155.0;69.0;6.0;17.0;29.0;15.0;3.0;317.0
251380 Santa Teresinha;1.0;6.0;2.0;0.0;0.0;0.0;1.0;0.0;10.0
251350 Santana de Mangueira;1.0;4.0;1.0;0.0;0.0;0.0;2.0;0.0;8.0
251360 Santana dos Garrotes;2.0;4.0;2.0;0.0;0.0;0.0;2.0;1.0;11.0
251385 Santo André;0.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;6.0
251392 São Bentinho;0.0;2.0;2.0;1.0;1.0;2.0;2.0;0.0;10.0
251390 São Bento;5.0;30.0;12.0;2.0;7.0;4.0;11.0;1.0;72.0
251396 São Domingos;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0
251394 São Domingos do Cariri;0.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0
251398 São Francisco;1.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;7.0
251400 São João do Cariri;1.0;6.0;2.0;0.0;1.0;0.0;1.0;0.0;11.0
250070 São João do Rio do Peixe;5.0;19.0;5.0;1.0;2.0;1.0;3.0;1.0;37.0
251410 São João do Tigre;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0
251420 São José da Lagoa Tapada;1.0;8.0;2.0;1.0;0.0;0.0;1.0;0.0;13.0
251430 São José de Caiana;1.0;6.0;0.0;0.0;1.0;1.0;1.0;1.0;11.0
251440 São José de Espinharas;2.0;3.0;2.0;0.0;1.0;0.0;2.0;0.0;10.0
251450 São José de Piranhas;3.0;21.0;4.0;1.0;1.0;2.0;4.0;0.0;36.0
251455 São José de Princesa;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0
251460 São José do Bonfim;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0
251465 São José do Brejo do Cruz;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0
251470 São José do Sabugi;2.0;6.0;3.0;1.0;0.0;3.0;3.0;1.0;19.0
251480 São José dos Cordeiros;0.0;0.0;2.0;1.0;1.0;0.0;2.0;0.0;6.0
251445 São José dos Ramos;1.0;4.0;1.0;1.0;1.0;0.0;1.0;0.0;9.0
251490 São Mamede;1.0;7.0;1.0;1.0;2.0;0.0;1.0;0.0;13.0
251500 São Miguel de Taipu;1.0;6.0;2.0;0.0;1.0;0.0;1.0;0.0;11.0
251510 São Sebastião de Lagoa de Roça;2.0;11.0;3.0;0.0;1.0;4.0;3.0;0.0;24.0
251520 São Sebastião do Umbuzeiro;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;5.0
251540 São Vicente do Seridó;1.0;10.0;3.0;1.0;1.0;1.0;1.0;0.0;18.0
251530 Sapé;14.0;33.0;12.0;3.0;7.0;3.0;12.0;2.0;86.0
251550 Serra Branca;1.0;10.0;7.0;1.0;3.0;2.0;6.0;0.0;30.0
251560 Serra da Raiz;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4.0
251570 Serra Grande;1.0;7.0;1.0;0.0;0.0;2.0;1.0;1.0;13.0
251580 Serra Redonda;0.0;5.0;3.0;0.0;1.0;2.0;1.0;0.0;12.0
251590 Serraria;0.0;11.0;2.0;1.0;2.0;0.0;1.0;0.0;17.0
251593 Sertãozinho;0.0;2.0;3.0;0.0;1.0;0.0;1.0;0.0;7.0
251597 Sobrado;1.0;8.0;2.0;1.0;1.0;1.0;1.0;0.0;15.0
251600 Solânea;2.0;16.0;9.0;0.0;3.0;7.0;4.0;0.0;41.0
251610 Soledade;1.0;19.0;6.0;0.0;2.0;0.0;3.0;0.0;31.0
251615 Sossêgo;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;5.0
251620 Sousa;28.0;88.0;33.0;11.0;8.0;5.0;19.0;1.0;193.0
251630 Sumé;1.0;12.0;5.0;0.0;3.0;9.0;2.0;0.0;32.0
251640 Tacima;2.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;7.0
251650 Taperoá;3.0;22.0;3.0;0.0;2.0;1.0;3.0;0.0;34.0
251660 Tavares;1.0;12.0;4.0;0.0;4.0;1.0;3.0;0.0;25.0
251670 Teixeira;3.0;12.0;5.0;0.0;4.0;1.0;6.0;0.0;31.0
251675 Tenório;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;5.0
251680 Triunfo;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0
251690 Uiraúna;2.0;19.0;9.0;1.0;0.0;0.0;3.0;0.0;34.0
251700 Umbuzeiro;2.0;10.0;5.0;0.0;1.0;1.0;5.0;0.0;24.0
251710 Várzea;2.0;6.0;0.0;1.0;1.0;1.0;2.0;0.0;13.0
251720 Vieirópolis;1.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;7.0
250550 Vista Serrana;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0
251740 Zabelê;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0
260005 Abreu e Lima;13.0;37.0;25.0;9.0;5.0;29.0;24.0;5.0;147.0
260010 Afogados da Ingazeira;13.0;85.0;27.0;9.0;9.0;13.0;18.0;4.0;178.0
260020 Afrânio;2.0;9.0;2.0;1.0;0.0;5.0;1.0;1.0;21.0
260030 Agrestina;8.0;23.0;10.0;0.0;8.0;4.0;11.0;2.0;66.0
260040 Água Preta;6.0;16.0;5.0;2.0;3.0;2.0;6.0;1.0;41.0
260050 Águas Belas;1.0;17.0;6.0;1.0;3.0;4.0;5.0;0.0;37.0
260060 Alagoinha;2.0;15.0;3.0;1.0;4.0;1.0;2.0;0.0;28.0
260070 Aliança;6.0;13.0;12.0;4.0;5.0;7.0;4.0;2.0;53.0
260080 Altinho;3.0;11.0;4.0;0.0;3.0;3.0;3.0;1.0;28.0
260090 Amaraji;2.0;6.0;3.0;1.0;0.0;1.0;1.0;0.0;14.0
260100 Angelim;4.0;10.0;3.0;0.0;1.0;4.0;3.0;0.0;25.0
260105 Araçoiaba;1.0;14.0;9.0;1.0;2.0;1.0;3.0;1.0;32.0
260110 Araripina;4.0;35.0;20.0;4.0;4.0;12.0;4.0;1.0;84.0
260120 Arcoverde;19.0;138.0;52.0;12.0;16.0;23.0;36.0;3.0;299.0
260130 Barra de Guabiraba;2.0;10.0;4.0;1.0;5.0;4.0;3.0;0.0;29.0
260140 Barreiros;4.0;22.0;11.0;2.0;3.0;1.0;4.0;1.0;48.0
260150 Belém de Maria;0.0;10.0;2.0;0.0;1.0;1.0;1.0;0.0;15.0
260160 Belém do São Francisco;1.0;10.0;2.0;0.0;2.0;3.0;2.0;0.0;20.0
260170 Belo Jardim;7.0;52.0;16.0;5.0;6.0;8.0;15.0;1.0;110.0
260180 Betânia;0.0;5.0;2.0;0.0;1.0;0.0;1.0;0.0;9.0
260190 Bezerros;9.0;32.0;18.0;3.0;5.0;10.0;11.0;2.0;90.0
260200 Bodocó;5.0;17.0;10.0;1.0;4.0;3.0;5.0;1.0;46.0
260210 Bom Conselho;7.0;19.0;9.0;3.0;1.0;14.0;6.0;3.0;62.0
260220 Bom Jardim;1.0;10.0;12.0;2.0;3.0;10.0;3.0;1.0;42.0
260230 Bonito;3.0;19.0;6.0;1.0;3.0;4.0;2.0;0.0;38.0
260240 Brejão;1.0;8.0;3.0;0.0;1.0;1.0;2.0;0.0;16.0
260250 Brejinho;0.0;6.0;4.0;0.0;1.0;0.0;2.0;0.0;13.0
260260 Brejo da Madre de Deus;3.0;25.0;10.0;2.0;3.0;2.0;4.0;0.0;49.0
260270 Buenos Aires;1.0;8.0;2.0;0.0;2.0;3.0;1.0;0.0;17.0
260280 Buíque;2.0;17.0;5.0;0.0;3.0;1.0;3.0;2.0;33.0
260290 Cabo de Santo Agostinho;49.0;323.0;117.0;35.0;42.0;78.0;53.0;10.0;707.0
260300 Cabrobó;5.0;22.0;7.0;1.0;3.0;5.0;7.0;2.0;52.0
260310 Cachoeirinha;0.0;8.0;4.0;0.0;1.0;1.0;2.0;0.0;16.0
260320 Caetés;1.0;13.0;6.0;1.0;3.0;0.0;2.0;0.0;26.0
260330 Calçado;1.0;10.0;3.0;1.0;2.0;1.0;2.0;1.0;21.0
260340 Calumbi;0.0;4.0;1.0;1.0;1.0;2.0;1.0;0.0;10.0
260345 Camaragibe;33.0;131.0;27.0;10.0;17.0;41.0;61.0;9.0;329.0
260350 Camocim de São Félix;1.0;9.0;4.0;0.0;1.0;1.0;2.0;0.0;18.0
260360 Camutanga;1.0;14.0;2.0;1.0;2.0;0.0;3.0;1.0;24.0
260370 Canhotinho;4.0;15.0;4.0;1.0;1.0;1.0;5.0;0.0;31.0
260380 Capoeiras;2.0;2.0;3.0;0.0;1.0;2.0;2.0;0.0;12.0
260390 Carnaíba;3.0;13.0;3.0;2.0;2.0;1.0;2.0;0.0;26.0
260392 Carnaubeira da Penha;2.0;13.0;1.0;0.0;1.0;5.0;2.0;1.0;25.0
260400 Carpina;9.0;35.0;51.0;5.0;14.0;28.0;31.0;1.0;174.0
260410 Caruaru;127.0;929.0;331.0;42.0;136.0;137.0;154.0;7.0;1863.0
260415 Casinhas;0.0;9.0;3.0;1.0;2.0;1.0;1.0;1.0;18.0
260420 Catende;12.0;15.0;6.0;1.0;4.0;3.0;6.0;0.0;47.0
260430 Cedro;0.0;15.0;4.0;0.0;1.0;4.0;1.0;0.0;25.0
260440 Chã de Alegria;1.0;9.0;3.0;1.0;1.0;0.0;0.0;1.0;16.0
260450 Chã Grande;3.0;7.0;5.0;0.0;2.0;4.0;4.0;0.0;25.0
260460 Condado;2.0;4.0;7.0;1.0;2.0;0.0;1.0;0.0;17.0
260470 Correntes;1.0;8.0;4.0;1.0;0.0;4.0;2.0;0.0;20.0
260480 Cortês;1.0;10.0;1.0;1.0;3.0;1.0;1.0;1.0;19.0
260490 Cumaru;0.0;8.0;2.0;0.0;1.0;5.0;2.0;0.0;18.0
260500 Cupira;2.0;10.0;6.0;0.0;3.0;2.0;2.0;0.0;25.0
260510 Custódia;1.0;22.0;5.0;1.0;2.0;5.0;4.0;1.0;41.0
260515 Dormentes;3.0;5.0;3.0;1.0;1.0;4.0;2.0;1.0;20.0
260520 Escada;2.0;27.0;13.0;5.0;5.0;6.0;7.0;0.0;65.0
260530 Exu;6.0;17.0;7.0;1.0;3.0;4.0;4.0;2.0;44.0
260540 Feira Nova;1.0;16.0;6.0;1.0;2.0;3.0;5.0;1.0;35.0
260545 Fernando de Noronha;2.0;8.0;2.0;1.0;1.0;1.0;3.0;1.0;19.0
260550 Ferreiros;0.0;6.0;3.0;1.0;1.0;1.0;2.0;0.0;14.0
260560 Flores;1.0;8.0;2.0;1.0;1.0;6.0;1.0;0.0;20.0
260570 Floresta;3.0;15.0;5.0;1.0;3.0;5.0;2.0;0.0;34.0
260580 Frei Miguelinho;1.0;9.0;3.0;1.0;4.0;4.0;2.0;1.0;25.0
260590 Gameleira;2.0;13.0;7.0;0.0;2.0;1.0;3.0;0.0;28.0
260600 Garanhuns;32.0;147.0;46.0;16.0;36.0;92.0;53.0;2.0;424.0
260610 Glória do Goitá;2.0;14.0;9.0;0.0;5.0;5.0;5.0;1.0;41.0
260620 Goiana;26.0;127.0;33.0;10.0;21.0;30.0;26.0;6.0;279.0
260630 Granito;0.0;5.0;1.0;1.0;1.0;0.0;1.0;0.0;9.0
260640 Gravatá;11.0;48.0;19.0;6.0;12.0;20.0;27.0;1.0;144.0
260650 Iati;1.0;7.0;2.0;0.0;1.0;0.0;1.0;0.0;12.0
260660 Ibimirim;1.0;18.0;6.0;1.0;2.0;3.0;3.0;0.0;34.0
260670 Ibirajuba;0.0;7.0;3.0;0.0;2.0;0.0;3.0;0.0;15.0
260680 Igarassu;16.0;99.0;22.0;5.0;11.0;16.0;47.0;10.0;226.0
260690 Iguaracy;2.0;10.0;3.0;0.0;3.0;1.0;1.0;0.0;20.0
260760 Ilha de Itamaracá;6.0;30.0;7.0;2.0;3.0;4.0;13.0;5.0;70.0
260700 Inajá;1.0;13.0;4.0;1.0;2.0;2.0;2.0;0.0;25.0
260710 Ingazeira;1.0;8.0;1.0;0.0;1.0;2.0;1.0;0.0;14.0
260720 Ipojuca;13.0;86.0;17.0;10.0;14.0;29.0;15.0;5.0;189.0
260730 Ipubi;7.0;13.0;12.0;0.0;3.0;2.0;4.0;0.0;41.0
260740 Itacuruba;2.0;7.0;2.0;0.0;1.0;0.0;1.0;0.0;13.0
260750 Itaíba;0.0;12.0;3.0;0.0;1.0;3.0;1.0;0.0;20.0
260765 Itambé;2.0;14.0;15.0;2.0;3.0;5.0;7.0;2.0;50.0
260770 Itapetim;3.0;9.0;8.0;0.0;5.0;1.0;4.0;1.0;31.0
260775 Itapissuma;2.0;10.0;6.0;1.0;4.0;3.0;5.0;1.0;32.0
260780 Itaquitinga;2.0;14.0;2.0;0.0;1.0;3.0;4.0;2.0;28.0
260790 Jaboatão dos Guararapes;88.0;519.0;234.0;72.0;87.0;295.0;149.0;10.0;1454.0
260795 Jaqueira;3.0;9.0;3.0;1.0;3.0;1.0;2.0;0.0;22.0
260800 Jataúba;2.0;9.0;5.0;0.0;0.0;1.0;4.0;0.0;21.0
260805 Jatobá;0.0;25.0;4.0;0.0;2.0;4.0;4.0;1.0;40.0
260810 João Alfredo;2.0;13.0;4.0;2.0;2.0;8.0;3.0;0.0;34.0
260820 Joaquim Nabuco;0.0;8.0;1.0;1.0;3.0;0.0;2.0;0.0;15.0
260825 Jucati;1.0;7.0;3.0;0.0;0.0;0.0;3.0;0.0;14.0
260830 Jupi;0.0;5.0;2.0;0.0;0.0;0.0;1.0;0.0;8.0
260840 Jurema;2.0;14.0;6.0;1.0;3.0;0.0;3.0;0.0;29.0
260850 Lagoa de Itaenga;2.0;8.0;1.0;2.0;1.0;2.0;5.0;1.0;22.0
260845 Lagoa do Carro;2.0;8.0;5.0;1.0;2.0;4.0;1.0;0.0;23.0
260860 Lagoa do Ouro;4.0;9.0;2.0;1.0;2.0;0.0;2.0;0.0;20.0
260870 Lagoa dos Gatos;1.0;10.0;2.0;0.0;1.0;0.0;1.0;0.0;15.0
260875 Lagoa Grande;2.0;15.0;6.0;2.0;1.0;5.0;5.0;1.0;37.0
260880 Lajedo;3.0;13.0;6.0;1.0;4.0;6.0;5.0;0.0;38.0
260890 Limoeiro;14.0;104.0;29.0;7.0;15.0;17.0;32.0;3.0;221.0
260900 Macaparana;2.0;13.0;4.0;2.0;2.0;4.0;4.0;0.0;31.0
260910 Machados;1.0;5.0;6.0;1.0;2.0;1.0;2.0;0.0;18.0
260915 Manari;3.0;11.0;2.0;0.0;1.0;0.0;2.0;0.0;19.0
260920 Maraial;0.0;6.0;1.0;0.0;2.0;1.0;1.0;0.0;11.0
260930 Mirandiba;1.0;9.0;4.0;1.0;2.0;4.0;1.0;0.0;22.0
261430 Moreilândia;0.0;8.0;3.0;0.0;0.0;0.0;3.0;0.0;14.0
260940 Moreno;6.0;36.0;6.0;4.0;9.0;13.0;9.0;1.0;84.0
260950 Nazaré da Mata;7.0;26.0;6.0;2.0;4.0;7.0;7.0;1.0;60.0
260960 Olinda;28.0;265.0;113.0;26.0;22.0;86.0;70.0;9.0;619.0
260970 Orobó;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;17.0
260980 Orocó;2.0;12.0;2.0;1.0;1.0;0.0;2.0;0.0;20.0
260990 Ouricuri;14.0;46.0;8.0;3.0;8.0;7.0;8.0;1.0;95.0
261000 Palmares;19.0;50.0;32.0;7.0;16.0;9.0;20.0;1.0;154.0
261010 Palmeirina;0.0;9.0;0.0;0.0;1.0;1.0;0.0;0.0;11.0
261020 Panelas;1.0;7.0;3.0;0.0;2.0;1.0;2.0;0.0;16.0
261030 Paranatama;3.0;11.0;5.0;0.0;3.0;1.0;4.0;0.0;27.0
261040 Parnamirim;2.0;8.0;5.0;2.0;1.0;1.0;1.0;0.0;20.0
261050 Passira;2.0;12.0;5.0;1.0;2.0;4.0;4.0;0.0;30.0
261060 Paudalho;6.0;15.0;14.0;2.0;6.0;1.0;17.0;2.0;63.0
